Symbol,Nasdaq Traded,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
TPIC,True,"TPI Composites, Inc. - Common Stock",Q,G,False,100.0,False,N,,TPIC,False
TPIV,True,TapImmune Inc. - Common Stock,Q,S,False,100.0,False,N,,TPIV,False
TPL,True,Texas Pacific Land Trust Common Stock,N, ,False,100.0,False,,TPL,TPL,False
TPOR,True,Direxion Daily Transportation Bull 3X Shares,P, ,True,100.0,False,,TPOR,TPOR,False
TPR,True,"Tapestry, Inc. Common Stock",N, ,False,100.0,False,,TPR,TPR,False
TPRE,True,Third Point Reinsurance Ltd. Common Shares,N, ,False,100.0,False,,TPRE,TPRE,False
TPVG,True,TriplePoint Venture Growth BDC Corp. Common Stock,N, ,False,100.0,False,,TPVG,TPVG,False
TPVY,True,TriplePoint Venture Growth BDC Corp. 5.75% Notes due 2022,N, ,False,100.0,False,,TPVY,TPVY,False
TPX,True,"Tempur Sealy International, Inc. Common Stock",N, ,False,100.0,False,,TPX,TPX,False
TPYP,True,Tortoise North American Pipeline ETF,P, ,True,100.0,False,,TPYP,TPYP,False
